product_name,category,platform,price,rating,delivery_days,discount,popularity
Google Pixel Model 40,Mobiles,Amazon,5980,4.2,1,20,1
iPhone Model 41,Mobiles,Amazon,6117,4.3,2,23,2
Samsung Galaxy Model 42,Mobiles,Amazon,6254,4.4,3,26,3
OnePlus Model 43,Mobiles,Amazon,6391,4.5,4,29,4
Realme Model 44,Mobiles,Amazon,6528,4.6,5,32,5
Redmi Model 45,Mobiles,Amazon,6665,4.7,1,35,6
Vivo Model 46,Mobiles,Amazon,6802,4.8,2,38,7
Oppo Model 47,Mobiles,Amazon,6939,4.9,3,41,8
Nothing Model 48,Mobiles,Amazon,7076,3.8,4,44,9
Motorola Model 49,Mobiles,Amazon,7213,3.9,5,47,10
Google Pixel Model 50,Mobiles,Amazon,7350,4.0,1,0,1
iPhone Model 1,Mobiles,Flipkart,637,3.9,2,3,2
Samsung Galaxy Model 2,Mobiles,Flipkart,774,4.0,3,6,3
OnePlus Model 3,Mobiles,Flipkart,911,4.1,4,9,4
Realme Model 4,Mobiles,Flipkart,1048,4.2,5,12,5
Redmi Model 5,Mobiles,Flipkart,1185,4.3,1,15,6
Vivo Model 6,Mobiles,Flipkart,1322,4.4,2,18,7
Oppo Model 7,Mobiles,Flipkart,1459,4.5,3,21,8
Nothing Model 8,Mobiles,Flipkart,1596,4.6,4,24,9
Motorola Model 9,Mobiles,Flipkart,1733,4.7,5,27,10
Google Pixel Model 10,Mobiles,Flipkart,1870,4.8,1,30,1
iPhone Model 11,Mobiles,Flipkart,2007,4.9,2,33,2
Samsung Galaxy Model 12,Mobiles,Flipkart,2144,3.8,3,36,3
OnePlus Model 13,Mobiles,Flipkart,2281,3.9,4,39,4
Realme Model 14,Mobiles,Flipkart,2418,4.0,5,42,5
Redmi Model 15,Mobiles,Flipkart,2555,4.1,1,45,6
Vivo Model 16,Mobiles,Flipkart,2692,4.2,2,48,7
Oppo Model 17,Mobiles,Flipkart,2829,4.3,3,1,8
Nothing Model 18,Mobiles,Flipkart,2966,4.4,4,4,9
Motorola Model 19,Mobiles,Flipkart,3103,4.5,5,7,10
Google Pixel Model 20,Mobiles,Flipkart,3240,4.6,1,10,1
iPhone Model 21,Mobiles,Flipkart,3377,4.7,2,13,2
Samsung Galaxy Model 22,Mobiles,Flipkart,3514,4.8,3,16,3
OnePlus Model 23,Mobiles,Flipkart,3651,4.9,4,19,4
Realme Model 24,Mobiles,Flipkart,3788,3.8,5,22,5
Redmi Model 25,Mobiles,Flipkart,3925,3.9,1,25,6
Vivo Model 26,Mobiles,Flipkart,4062,4.0,2,28,7
Oppo Model 27,Mobiles,Flipkart,4199,4.1,3,31,8
Nothing Model 28,Mobiles,Flipkart,4336,4.2,4,34,9
Motorola Model 29,Mobiles,Flipkart,4473,4.3,5,37,10
Google Pixel Model 30,Mobiles,Flipkart,4610,4.4,1,40,1
iPhone Model 31,Mobiles,Flipkart,4747,4.5,2,43,2
Samsung Galaxy Model 32,Mobiles,Flipkart,4884,4.6,3,46,3
OnePlus Model 33,Mobiles,Flipkart,5021,4.7,4,49,4
Realme Model 34,Mobiles,Flipkart,5158,4.8,5,2,5
Redmi Model 35,Mobiles,Flipkart,5295,4.9,1,5,6
Vivo Model 36,Mobiles,Flipkart,5432,3.8,2,8,7
Oppo Model 37,Mobiles,Flipkart,5569,3.9,3,11,8
Nothing Model 38,Mobiles,Flipkart,5706,4.0,4,14,9
Motorola Model 39,Mobiles,Flipkart,5843,4.1,5,17,10
Google Pixel Model 40,Mobiles,Flipkart,5980,4.2,1,20,1
iPhone Model 41,Mobiles,Flipkart,6117,4.3,2,23,2
Samsung Galaxy Model 42,Mobiles,Flipkart,6254,4.4,3,26,3
OnePlus Model 43,Mobiles,Flipkart,6391,4.5,4,29,4
Realme Model 44,Mobiles,Flipkart,6528,4.6,5,32,5
Redmi Model 45,Mobiles,Flipkart,6665,4.7,1,35,6
Vivo Model 46,Mobiles,Flipkart,6802,4.8,2,38,7
Oppo Model 47,Mobiles,Flipkart,6939,4.9,3,41,8
Nothing Model 48,Mobiles,Flipkart,7076,3.8,4,44,9
Motorola Model 49,Mobiles,Flipkart,7213,3.9,5,47,10
Google Pixel Model 50,Mobiles,Flipkart,7350,4.0,1,0,1
iPhone Model 1,Mobiles,Myntra,637,3.9,2,3,2
Samsung Galaxy Model 2,Mobiles,Myntra,774,4.0,3,6,3
OnePlus Model 3,Mobiles,Myntra,911,4.1,4,9,4
Realme Model 4,Mobiles,Myntra,1048,4.2,5,12,5
Redmi Model 5,Mobiles,Myntra,1185,4.3,1,15,6
Vivo Model 6,Mobiles,Myntra,1322,4.4,2,18,7
Oppo Model 7,Mobiles,Myntra,1459,4.5,3,21,8
Nothing Model 8,Mobiles,Myntra,1596,4.6,4,24,9
Motorola Model 9,Mobiles,Myntra,1733,4.7,5,27,10
Google Pixel Model 10,Mobiles,Myntra,1870,4.8,1,30,1
iPhone Model 11,Mobiles,Myntra,2007,4.9,2,33,2
Samsung Galaxy Model 12,Mobiles,Myntra,2144,3.8,3,36,3
OnePlus Model 13,Mobiles,Myntra,2281,3.9,4,39,4
Realme Model 14,Mobiles,Myntra,2418,4.0,5,42,5
Redmi Model 15,Mobiles,Myntra,2555,4.1,1,45,6
Vivo Model 16,Mobiles,Myntra,2692,4.2,2,48,7
Oppo Model 17,Mobiles,Myntra,2829,4.3,3,1,8
Nothing Model 18,Mobiles,Myntra,2966,4.4,4,4,9
Motorola Model 19,Mobiles,Myntra,3103,4.5,5,7,10
Google Pixel Model 20,Mobiles,Myntra,3240,4.6,1,10,1
iPhone Model 21,Mobiles,Myntra,3377,4.7,2,13,2
Samsung Galaxy Model 22,Mobiles,Myntra,3514,4.8,3,16,3
OnePlus Model 23,Mobiles,Myntra,3651,4.9,4,19,4
Realme Model 24,Mobiles,Myntra,3788,3.8,5,22,5
Redmi Model 25,Mobiles,Myntra,3925,3.9,1,25,6
Vivo Model 26,Mobiles,Myntra,4062,4.0,2,28,7
Oppo Model 27,Mobiles,Myntra,4199,4.1,3,31,8
Nothing Model 28,Mobiles,Myntra,4336,4.2,4,34,9
Motorola Model 29,Mobiles,Myntra,4473,4.3,5,37,10
Google Pixel Model 30,Mobiles,Myntra,4610,4.4,1,40,1
iPhone Model 31,Mobiles,Myntra,4747,4.5,2,43,2
Samsung Galaxy Model 32,Mobiles,Myntra,4884,4.6,3,46,3
OnePlus Model 33,Mobiles,Myntra,5021,4.7,4,49,4
Realme Model 34,Mobiles,Myntra,5158,4.8,5,2,5
Redmi Model 35,Mobiles,Myntra,5295,4.9,1,5,6
Vivo Model 36,Mobiles,Myntra,5432,3.8,2,8,7
Oppo Model 37,Mobiles,Myntra,5569,3.9,3,11,8
Nothing Model 38,Mobiles,Myntra,5706,4.0,4,14,9
Motorola Model 39,Mobiles,Myntra,5843,4.1,5,17,10
Google Pixel Model 40,Mobiles,Myntra,5980,4.2,1,20,1
iPhone Model 41,Mobiles,Myntra,6117,4.3,2,23,2
Samsung Galaxy Model 42,Mobiles,Myntra,6254,4.4,3,26,3
OnePlus Model 43,Mobiles,Myntra,6391,4.5,4,29,4
Realme Model 44,Mobiles,Myntra,6528,4.6,5,32,5
Redmi Model 45,Mobiles,Myntra,6665,4.7,1,35,6
Vivo Model 46,Mobiles,Myntra,6802,4.8,2,38,7
Oppo Model 47,Mobiles,Myntra,6939,4.9,3,41,8
Nothing Model 48,Mobiles,Myntra,7076,3.8,4,44,9
Motorola Model 49,Mobiles,Myntra,7213,3.9,5,47,10
Google Pixel Model 50,Mobiles,Myntra,7350,4.0,1,0,1
iPhone Model 1,Mobiles,Ajio,637,3.9,2,3,2
Samsung Galaxy Model 2,Mobiles,Ajio,774,4.0,3,6,3
OnePlus Model 3,Mobiles,Ajio,911,4.1,4,9,4
Realme Model 4,Mobiles,Ajio,1048,4.2,5,12,5
Redmi Model 5,Mobiles,Ajio,1185,4.3,1,15,6
Vivo Model 6,Mobiles,Ajio,1322,4.4,2,18,7
Oppo Model 7,Mobiles,Ajio,1459,4.5,3,21,8
Nothing Model 8,Mobiles,Ajio,1596,4.6,4,24,9
Motorola Model 9,Mobiles,Ajio,1733,4.7,5,27,10
Google Pixel Model 10,Mobiles,Ajio,1870,4.8,1,30,1
iPhone Model 11,Mobiles,Ajio,2007,4.9,2,33,2
Samsung Galaxy Model 12,Mobiles,Ajio,2144,3.8,3,36,3
OnePlus Model 13,Mobiles,Ajio,2281,3.9,4,39,4
Realme Model 14,Mobiles,Ajio,2418,4.0,5,42,5
Redmi Model 15,Mobiles,Ajio,2555,4.1,1,45,6
Vivo Model 16,Mobiles,Ajio,2692,4.2,2,48,7
Oppo Model 17,Mobiles,Ajio,2829,4.3,3,1,8
Nothing Model 18,Mobiles,Ajio,2966,4.4,4,4,9
Motorola Model 19,Mobiles,Ajio,3103,4.5,5,7,10
Google Pixel Model 20,Mobiles,Ajio,3240,4.6,1,10,1
iPhone Model 21,Mobiles,Ajio,3377,4.7,2,13,2
Samsung Galaxy Model 22,Mobiles,Ajio,3514,4.8,3,16,3
OnePlus Model 23,Mobiles,Ajio,3651,4.9,4,19,4
Realme Model 24,Mobiles,Ajio,3788,3.8,5,22,5
Redmi Model 25,Mobiles,Ajio,3925,3.9,1,25,6
Vivo Model 26,Mobiles,Ajio,4062,4.0,2,28,7
Oppo Model 27,Mobiles,Ajio,4199,4.1,3,31,8
Nothing Model 28,Mobiles,Ajio,4336,4.2,4,34,9
Motorola Model 29,Mobiles,Ajio,4473,4.3,5,37,10
Google Pixel Model 30,Mobiles,Ajio,4610,4.4,1,40,1
iPhone Model 31,Mobiles,Ajio,4747,4.5,2,43,2
Samsung Galaxy Model 32,Mobiles,Ajio,4884,4.6,3,46,3
OnePlus Model 33,Mobiles,Ajio,5021,4.7,4,49,4
Realme Model 34,Mobiles,Ajio,5158,4.8,5,2,5
Redmi Model 35,Mobiles,Ajio,5295,4.9,1,5,6
Vivo Model 36,Mobiles,Ajio,5432,3.8,2,8,7
Oppo Model 37,Mobiles,Ajio,5569,3.9,3,11,8
Nothing Model 38,Mobiles,Ajio,5706,4.0,4,14,9
Motorola Model 39,Mobiles,Ajio,5843,4.1,5,17,10
Google Pixel Model 40,Mobiles,Ajio,5980,4.2,1,20,1
iPhone Model 41,Mobiles,Ajio,6117,4.3,2,23,2
Samsung Galaxy Model 42,Mobiles,Ajio,6254,4.4,3,26,3
OnePlus Model 43,Mobiles,Ajio,6391,4.5,4,29,4
Realme Model 44,Mobiles,Ajio,6528,4.6,5,32,5
Redmi Model 45,Mobiles,Ajio,6665,4.7,1,35,6
Vivo Model 46,Mobiles,Ajio,6802,4.8,2,38,7
Oppo Model 47,Mobiles,Ajio,6939,4.9,3,41,8
Nothing Model 48,Mobiles,Ajio,7076,3.8,4,44,9
Motorola Model 49,Mobiles,Ajio,7213,3.9,5,47,10
Google Pixel Model 50,Mobiles,Ajio,7350,4.0,1,0,1
iPhone Model 1,Mobiles,Meesho,637,3.9,2,3,2
Samsung Galaxy Model 2,Mobiles,Meesho,774,4.0,3,6,3
OnePlus Model 3,Mobiles,Meesho,911,4.1,4,9,4
Realme Model 4,Mobiles,Meesho,1048,4.2,5,12,5
Redmi Model 5,Mobiles,Meesho,1185,4.3,1,15,6
Vivo Model 6,Mobiles,Meesho,1322,4.4,2,18,7
Oppo Model 7,Mobiles,Meesho,1459,4.5,3,21,8
Nothing Model 8,Mobiles,Meesho,1596,4.6,4,24,9
Motorola Model 9,Mobiles,Meesho,1733,4.7,5,27,10
Google Pixel Model 10,Mobiles,Meesho,1870,4.8,1,30,1
iPhone Model 11,Mobiles,Meesho,2007,4.9,2,33,2
Samsung Galaxy Model 12,Mobiles,Meesho,2144,3.8,3,36,3
OnePlus Model 13,Mobiles,Meesho,2281,3.9,4,39,4
Realme Model 14,Mobiles,Meesho,2418,4.0,5,42,5
Redmi Model 15,Mobiles,Meesho,2555,4.1,1,45,6
Vivo Model 16,Mobiles,Meesho,2692,4.2,2,48,7
Oppo Model 17,Mobiles,Meesho,2829,4.3,3,1,8
Nothing Model 18,Mobiles,Meesho,2966,4.4,4,4,9
Motorola Model 19,Mobiles,Meesho,3103,4.5,5,7,10
Google Pixel Model 20,Mobiles,Meesho,3240,4.6,1,10,1
iPhone Model 21,Mobiles,Meesho,3377,4.7,2,13,2
Samsung Galaxy Model 22,Mobiles,Meesho,3514,4.8,3,16,3
OnePlus Model 23,Mobiles,Meesho,3651,4.9,4,19,4
Realme Model 24,Mobiles,Meesho,3788,3.8,5,22,5
Redmi Model 25,Mobiles,Meesho,3925,3.9,1,25,6
Vivo Model 26,Mobiles,Meesho,4062,4.0,2,28,7
Oppo Model 27,Mobiles,Meesho,4199,4.1,3,31,8
Nothing Model 28,Mobiles,Meesho,4336,4.2,4,34,9
Motorola Model 29,Mobiles,Meesho,4473,4.3,5,37,10
Google Pixel Model 30,Mobiles,Meesho,4610,4.4,1,40,1
iPhone Model 31,Mobiles,Meesho,4747,4.5,2,43,2
Samsung Galaxy Model 32,Mobiles,Meesho,4884,4.6,3,46,3
OnePlus Model 33,Mobiles,Meesho,5021,4.7,4,49,4
Realme Model 34,Mobiles,Meesho,5158,4.8,5,2,5
Redmi Model 35,Mobiles,Meesho,5295,4.9,1,5,6
Vivo Model 36,Mobiles,Meesho,5432,3.8,2,8,7
Oppo Model 37,Mobiles,Meesho,5569,3.9,3,11,8
Nothing Model 38,Mobiles,Meesho,5706,4.0,4,14,9
Motorola Model 39,Mobiles,Meesho,5843,4.1,5,17,10
Google Pixel Model 40,Mobiles,Meesho,5980,4.2,1,20,1
iPhone Model 41,Mobiles,Meesho,6117,4.3,2,23,2
Samsung Galaxy Model 42,Mobiles,Meesho,6254,4.4,3,26,3
OnePlus Model 43,Mobiles,Meesho,6391,4.5,4,29,4
Realme Model 44,Mobiles,Meesho,6528,4.6,5,32,5
Redmi Model 45,Mobiles,Meesho,6665,4.7,1,35,6
Vivo Model 46,Mobiles,Meesho,6802,4.8,2,38,7
Oppo Model 47,Mobiles,Meesho,6939,4.9,3,41,8
Nothing Model 48,Mobiles,Meesho,7076,3.8,4,44,9
Motorola Model 49,Mobiles,Meesho,7213,3.9,5,47,10
Google Pixel Model 50,Mobiles,Meesho,7350,4.0,1,0,1
iPhone Model 1,Mobiles,Nykaa,637,3.9,2,3,2
Samsung Galaxy Model 2,Mobiles,Nykaa,774,4.0,3,6,3
OnePlus Model 3,Mobiles,Nykaa,911,4.1,4,9,4
Realme Model 4,Mobiles,Nykaa,1048,4.2,5,12,5
Redmi Model 5,Mobiles,Nykaa,1185,4.3,1,15,6
Vivo Model 6,Mobiles,Nykaa,1322,4.4,2,18,7
Oppo Model 7,Mobiles,Nykaa,1459,4.5,3,21,8
Nothing Model 8,Mobiles,Nykaa,1596,4.6,4,24,9
Motorola Model 9,Mobiles,Nykaa,1733,4.7,5,27,10
Google Pixel Model 10,Mobiles,Nykaa,1870,4.8,1,30,1
iPhone Model 11,Mobiles,Nykaa,2007,4.9,2,33,2
Samsung Galaxy Model 12,Mobiles,Nykaa,2144,3.8,3,36,3
OnePlus Model 13,Mobiles,Nykaa,2281,3.9,4,39,4
Realme Model 14,Mobiles,Nykaa,2418,4.0,5,42,5
Redmi Model 15,Mobiles,Nykaa,2555,4.1,1,45,6
Vivo Model 16,Mobiles,Nykaa,2692,4.2,2,48,7
Oppo Model 17,Mobiles,Nykaa,2829,4.3,3,1,8
Nothing Model 18,Mobiles,Nykaa,2966,4.4,4,4,9
Motorola Model 19,Mobiles,Nykaa,3103,4.5,5,7,10
Google Pixel Model 20,Mobiles,Nykaa,3240,4.6,1,10,1
iPhone Model 21,Mobiles,Nykaa,3377,4.7,2,13,2
Samsung Galaxy Model 22,Mobiles,Nykaa,3514,4.8,3,16,3
OnePlus Model 23,Mobiles,Nykaa,3651,4.9,4,19,4
Realme Model 24,Mobiles,Nykaa,3788,3.8,5,22,5
Redmi Model 25,Mobiles,Nykaa,3925,3.9,1,25,6
Vivo Model 26,Mobiles,Nykaa,4062,4.0,2,28,7
Oppo Model 27,Mobiles,Nykaa,4199,4.1,3,31,8
Nothing Model 28,Mobiles,Nykaa,4336,4.2,4,34,9
Motorola Model 29,Mobiles,Nykaa,4473,4.3,5,37,10
Google Pixel Model 30,Mobiles,Nykaa,4610,4.4,1,40,1
iPhone Model 31,Mobiles,Nykaa,4747,4.5,2,43,2
Samsung Galaxy Model 32,Mobiles,Nykaa,4884,4.6,3,46,3
OnePlus Model 33,Mobiles,Nykaa,5021,4.7,4,49,4
Realme Model 34,Mobiles,Nykaa,5158,4.8,5,2,5
Redmi Model 35,Mobiles,Nykaa,5295,4.9,1,5,6
Vivo Model 36,Mobiles,Nykaa,5432,3.8,2,8,7
Oppo Model 37,Mobiles,Nykaa,5569,3.9,3,11,8
Nothing Model 38,Mobiles,Nykaa,5706,4.0,4,14,9
Motorola Model 39,Mobiles,Nykaa,5843,4.1,5,17,10
Google Pixel Model 40,Mobiles,Nykaa,5980,4.2,1,20,1
iPhone Model 41,Mobiles,Nykaa,6117,4.3,2,23,2
Samsung Galaxy Model 42,Mobiles,Nykaa,6254,4.4,3,26,3
OnePlus Model 43,Mobiles,Nykaa,6391,4.5,4,29,4
Realme Model 44,Mobiles,Nykaa,6528,4.6,5,32,5
Redmi Model 45,Mobiles,Nykaa,6665,4.7,1,35,6
Vivo Model 46,Mobiles,Nykaa,6802,4.8,2,38,7
Oppo Model 47,Mobiles,Nykaa,6939,4.9,3,41,8
Nothing Model 48,Mobiles,Nykaa,7076,3.8,4,44,9
Motorola Model 49,Mobiles,Nykaa,7213,3.9,5,47,10
Google Pixel Model 50,Mobiles,Nykaa,7350,4.0,1,0,1
HP Victus Model 1,Laptops,Amazon,637,3.9,2,3,2
Dell Inspiron Model 2,Laptops,Amazon,774,4.0,3,6,3
Lenovo Legion Model 3,Laptops,Amazon,911,4.1,4,9,4
ASUS TUF Model 4,Laptops,Amazon,1048,4.2,5,12,5
Acer Nitro Model 5,Laptops,Amazon,1185,4.3,1,15,6
MacBook Air Model 6,Laptops,Amazon,1322,4.4,2,18,7
MSI Katana Model 7,Laptops,Amazon,1459,4.5,3,21,8
HP Pavilion Model 8,Laptops,Amazon,1596,4.6,4,24,9
Lenovo IdeaPad Model 9,Laptops,Amazon,1733,4.7,5,27,10
ASUS VivoBook Model 10,Laptops,Amazon,1870,4.8,1,30,1
HP Victus Model 11,Laptops,Amazon,2007,4.9,2,33,2
Dell Inspiron Model 12,Laptops,Amazon,2144,3.8,3,36,3
Lenovo Legion Model 13,Laptops,Amazon,2281,3.9,4,39,4
ASUS TUF Model 14,Laptops,Amazon,2418,4.0,5,42,5
Acer Nitro Model 15,Laptops,Amazon,2555,4.1,1,45,6
MacBook Air Model 16,Laptops,Amazon,2692,4.2,2,48,7
MSI Katana Model 17,Laptops,Amazon,2829,4.3,3,1,8
HP Pavilion Model 18,Laptops,Amazon,2966,4.4,4,4,9
Lenovo IdeaPad Model 19,Laptops,Amazon,3103,4.5,5,7,10
ASUS VivoBook Model 20,Laptops,Amazon,3240,4.6,1,10,1
HP Victus Model 21,Laptops,Amazon,3377,4.7,2,13,2
Dell Inspiron Model 22,Laptops,Amazon,3514,4.8,3,16,3
Lenovo Legion Model 23,Laptops,Amazon,3651,4.9,4,19,4
ASUS TUF Model 24,Laptops,Amazon,3788,3.8,5,22,5
Acer Nitro Model 25,Laptops,Amazon,3925,3.9,1,25,6
MacBook Air Model 26,Laptops,Amazon,4062,4.0,2,28,7
MSI Katana Model 27,Laptops,Amazon,4199,4.1,3,31,8
HP Pavilion Model 28,Laptops,Amazon,4336,4.2,4,34,9
Lenovo IdeaPad Model 29,Laptops,Amazon,4473,4.3,5,37,10
ASUS VivoBook Model 30,Laptops,Amazon,4610,4.4,1,40,1
HP Victus Model 31,Laptops,Amazon,4747,4.5,2,43,2
Dell Inspiron Model 32,Laptops,Amazon,4884,4.6,3,46,3
Lenovo Legion Model 33,Laptops,Amazon,5021,4.7,4,49,4
ASUS TUF Model 34,Laptops,Amazon,5158,4.8,5,2,5
Acer Nitro Model 35,Laptops,Amazon,5295,4.9,1,5,6
MacBook Air Model 36,Laptops,Amazon,5432,3.8,2,8,7
MSI Katana Model 37,Laptops,Amazon,5569,3.9,3,11,8
HP Pavilion Model 38,Laptops,Amazon,5706,4.0,4,14,9
Lenovo IdeaPad Model 39,Laptops,Amazon,5843,4.1,5,17,10
ASUS VivoBook Model 40,Laptops,Amazon,5980,4.2,1,20,1
HP Victus Model 41,Laptops,Amazon,6117,4.3,2,23,2
Dell Inspiron Model 42,Laptops,Amazon,6254,4.4,3,26,3
Lenovo Legion Model 43,Laptops,Amazon,6391,4.5,4,29,4
ASUS TUF Model 44,Laptops,Amazon,6528,4.6,5,32,5
Acer Nitro Model 45,Laptops,Amazon,6665,4.7,1,35,6
MacBook Air Model 46,Laptops,Amazon,6802,4.8,2,38,7
MSI Katana Model 47,Laptops,Amazon,6939,4.9,3,41,8
HP Pavilion Model 48,Laptops,Amazon,7076,3.8,4,44,9
Lenovo IdeaPad Model 49,Laptops,Amazon,7213,3.9,5,47,10
ASUS VivoBook Model 50,Laptops,Amazon,7350,4.0,1,0,1
HP Victus Model 1,Laptops,Flipkart,637,3.9,2,3,2
Dell Inspiron Model 2,Laptops,Flipkart,774,4.0,3,6,3
Lenovo Legion Model 3,Laptops,Flipkart,911,4.1,4,9,4
ASUS TUF Model 4,Laptops,Flipkart,1048,4.2,5,12,5
Acer Nitro Model 5,Laptops,Flipkart,1185,4.3,1,15,6
MacBook Air Model 6,Laptops,Flipkart,1322,4.4,2,18,7
MSI Katana Model 7,Laptops,Flipkart,1459,4.5,3,21,8
HP Pavilion Model 8,Laptops,Flipkart,1596,4.6,4,24,9
Lenovo IdeaPad Model 9,Laptops,Flipkart,1733,4.7,5,27,10
ASUS VivoBook Model 10,Laptops,Flipkart,1870,4.8,1,30,1
HP Victus Model 11,Laptops,Flipkart,2007,4.9,2,33,2
Dell Inspiron Model 12,Laptops,Flipkart,2144,3.8,3,36,3
Lenovo Legion Model 13,Laptops,Flipkart,2281,3.9,4,39,4
ASUS TUF Model 14,Laptops,Flipkart,2418,4.0,5,42,5
Acer Nitro Model 15,Laptops,Flipkart,2555,4.1,1,45,6
MacBook Air Model 16,Laptops,Flipkart,2692,4.2,2,48,7
MSI Katana Model 17,Laptops,Flipkart,2829,4.3,3,1,8
HP Pavilion Model 18,Laptops,Flipkart,2966,4.4,4,4,9
Lenovo IdeaPad Model 19,Laptops,Flipkart,3103,4.5,5,7,10
ASUS VivoBook Model 20,Laptops,Flipkart,3240,4.6,1,10,1
HP Victus Model 21,Laptops,Flipkart,3377,4.7,2,13,2
Dell Inspiron Model 22,Laptops,Flipkart,3514,4.8,3,16,3
Lenovo Legion Model 23,Laptops,Flipkart,3651,4.9,4,19,4
ASUS TUF Model 24,Laptops,Flipkart,3788,3.8,5,22,5
Acer Nitro Model 25,Laptops,Flipkart,3925,3.9,1,25,6
MacBook Air Model 26,Laptops,Flipkart,4062,4.0,2,28,7
MSI Katana Model 27,Laptops,Flipkart,4199,4.1,3,31,8
HP Pavilion Model 28,Laptops,Flipkart,4336,4.2,4,34,9
Lenovo IdeaPad Model 29,Laptops,Flipkart,4473,4.3,5,37,10
ASUS VivoBook Model 30,Laptops,Flipkart,4610,4.4,1,40,1
HP Victus Model 31,Laptops,Flipkart,4747,4.5,2,43,2
Dell Inspiron Model 32,Laptops,Flipkart,4884,4.6,3,46,3
Lenovo Legion Model 33,Laptops,Flipkart,5021,4.7,4,49,4
ASUS TUF Model 34,Laptops,Flipkart,5158,4.8,5,2,5
Acer Nitro Model 35,Laptops,Flipkart,5295,4.9,1,5,6
MacBook Air Model 36,Laptops,Flipkart,5432,3.8,2,8,7
MSI Katana Model 37,Laptops,Flipkart,5569,3.9,3,11,8
HP Pavilion Model 38,Laptops,Flipkart,5706,4.0,4,14,9
Lenovo IdeaPad Model 39,Laptops,Flipkart,5843,4.1,5,17,10
ASUS VivoBook Model 40,Laptops,Flipkart,5980,4.2,1,20,1
HP Victus Model 41,Laptops,Flipkart,6117,4.3,2,23,2
Dell Inspiron Model 42,Laptops,Flipkart,6254,4.4,3,26,3
Lenovo Legion Model 43,Laptops,Flipkart,6391,4.5,4,29,4
ASUS TUF Model 44,Laptops,Flipkart,6528,4.6,5,32,5
Acer Nitro Model 45,Laptops,Flipkart,6665,4.7,1,35,6
MacBook Air Model 46,Laptops,Flipkart,6802,4.8,2,38,7
MSI Katana Model 47,Laptops,Flipkart,6939,4.9,3,41,8
HP Pavilion Model 48,Laptops,Flipkart,7076,3.8,4,44,9
Lenovo IdeaPad Model 49,Laptops,Flipkart,7213,3.9,5,47,10
ASUS VivoBook Model 50,Laptops,Flipkart,7350,4.0,1,0,1
HP Victus Model 1,Laptops,Myntra,637,3.9,2,3,2
Dell Inspiron Model 2,Laptops,Myntra,774,4.0,3,6,3
Lenovo Legion Model 3,Laptops,Myntra,911,4.1,4,9,4
ASUS TUF Model 4,Laptops,Myntra,1048,4.2,5,12,5
